metric,percentile,value
owned_games,50,166
owned_games,75,378
owned_games,90,836
owned_games,95,1451
owned_games,99,4422.2099999999955
total_hours,50,5901.98335
total_hours,75,10598.21665
total_hours,90,16607.568320000002
total_hours,95,21649.341644999997
total_hours,99,38900.17629999999
signal_ratio,50,0.9868045
signal_ratio,75,1.6634562499999999
signal_ratio,90,2.6082602000000006
signal_ratio,95,3.4536522999999995
signal_ratio,99,6.562783119999997
steam_tenure_days,50,9.3903
steam_tenure_days,75,33.9177
steam_tenure_days,90,38.799
tenure_adjusted_signal,50,0.6943425000000001
tenure_adjusted_signal,75,2.9430935
tenure_adjusted_signal,90,8.048909600000002
tenure_adjusted_signal,95,13.053379449999996
tenure_adjusted_signal,99,20
log_residual,50,-0.0057669999999999996
log_residual,90,0.4163055
tenure_log_residual,50,-0.15814699999999998
tenure_log_residual,90,0.9050037000000002
